portal,role_query,title,company,location,url,posted,scraped_at
LinkedIn,TPM,Global Operational Excellence Leader,Americhem,"Dalton, GA",https://www.linkedin.com/jobs/view/global-operational-excellence-leader-at-americhem-4403691747?position=17&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=K11SbHPVkEBQeiGv41PhGg%3D%3D,10 hours ago,2026-04-21T12:09:52.000061
LinkedIn,TPM,Continuous Improvement Engineer,Bluewater Hayes Inc.,"Rockbridge County, VA",https://www.linkedin.com/jobs/view/continuous-improvement-engineer-at-bluewater-hayes-inc-4398492230?position=18&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=k9JYeWv90%2FXy2Mu9Jjnfuw%3D%3D,1 week ago,2026-04-21T12:09:52.000061
LinkedIn,TPM,Continuous Improvement Specialist,"Pete & Gerry's Organics, LLC","Gainesville, GA",https://www.linkedin.com/jobs/view/continuous-improvement-specialist-at-pete-gerry-s-organics-llc-4391488683?position=19&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=GZoja%2BqGX%2FCBR1DnhwbT%2Bg%3D%3D,3 weeks ago,2026-04-21T12:09:52.000061
LinkedIn,TPM,Global Operational Excellence Leader,Americhem,"Liberty, NC",https://www.linkedin.com/jobs/view/global-operational-excellence-leader-at-americhem-4403679918?position=20&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=SStYpvSm9HfDL0qx1Es46w%3D%3D,10 hours ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Technical Program Manager 6 - Data Systems,Netflix,United States,https://www.linkedin.com/jobs/view/technical-program-manager-6-data-systems-at-netflix-4400198696?position=21&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=fGzF70LCFYByH6hYSYYQzg%3D%3D,5 days ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Global Operational Excellence Leader,Americhem,"Cuyahoga Falls, OH",https://www.linkedin.com/jobs/view/global-operational-excellence-leader-at-americhem-4403695563?position=22&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=HSzilDQxlmiW6qp6WWd5rw%3D%3D,10 hours ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Continuous Improvement Program Manager,SCN BestCo,"Santa Cruz, CA",https://www.linkedin.com/jobs/view/continuous-improvement-program-manager-at-scn-bestco-4376155095?position=23&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=aN4VP3%2FN4zri%2BP1a2OKGaw%3D%3D,2 months ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Technical Program Manager (TPM),Spoonified,Dallas-Fort Worth Metroplex,https://www.linkedin.com/jobs/view/technical-program-manager-tpm-at-spoonified-4401826921?position=24&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=WtG81r7jz%2FCioFUAEUe2Bg%3D%3D,4 days ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Senior TPM - Applied AI,DeepRec.ai,"New York, NY",https://www.linkedin.com/jobs/view/senior-tpm-applied-ai-at-deeprec-ai-4404576260?position=25&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=uZXKav%2B5rqannQJpVRRoCQ%3D%3D,52 minutes ago,2026-04-21T12:09:52.001073
LinkedIn,TPM,Director of Plant Operations,"GE Appliances, a Haier company","Decatur, AL",https://www.linkedin.com/jobs/view/director-of-plant-operations-at-ge-appliances-a-haier-company-4402187738?position=26&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=u8%2FzaM9vkVgjTeo4sj0Rew%3D%3D,4 days ago,2026-04-21T12:09:52.001073
